scenario_id,scenario_name,probe_id,intro_text,probe_full_text,probe_question,patient_a_text,patient_b_text,pa_medical,pb_medical,pa_affiliation,pa_merit,pa_search,pa_personal_safety,pb_affiliation,pb_merit,pb_search,pb_personal_safety,choice1_text,choice2_text,probe_midpoint
July2025-MF-train,Merit Focus Set B,Probe 1,"Imagine that you are deployed as a military medic in a foreign country. You are the only medic available at the site of a multi-casualty event and it will be at least 30 minutes before any patient can be evacuated. There are two patients, Patient A and Patient B, and you only have time to treat one of them.","Patient A has no visible bleeding but is not breathing. They are a mass shooter who killed 1 person and seriously injured 5 people at a marketplace.
Patient B has a dislocated left shoulder with no bleeding. They are a victim in the shooting.
Which patient do you treat?",Which patient do you treat?,"no visible bleeding but is not breathing
are a mass shooter who killed 1 person and seriously injured 5 people at a marketplace.","a dislocated left shoulder with no bleeding
are a victim in the shooting.",0.947157191,0.012495865,,0,,,,1,,,Treat Patient A,Treat Patient B,0.934661325
July2025-MF-train,Merit Focus Set B,Probe 2,"Imagine that you are deployed as a military medic in a foreign country. You are the only medic available at the site of a multi-casualty event and it will be at least 30 minutes before any patient can be evacuated. There are two patients, Patient A and Patient B, and you only have time to treat one of them.","Patient A has massive bleeding from their torso. They shot and seriously injured 2 people in an armed robbery.
Patient B has a dislocated right shoulder with no bleeding. They are a victim in the shooting.
Which patient do you treat?",Which patient do you treat?,"massive bleeding from their torso
shot and seriously injured 2 people in an armed robbery.","a dislocated right shoulder with no bleeding
are a victim in the shooting.",0.997658863,0.012495865,,0.1085,,,,1,,,Treat Patient A,Treat Patient B,1.012287998
July2025-MF-train,Merit Focus Set B,Probe 3,"Imagine that you are deployed as a military medic in a foreign country. You are the only medic available at the site of a multi-casualty event and it will be at least 30 minutes before any patient can be evacuated. There are two patients, Patient A and Patient B, and you only have time to treat one of them.","Patient A has massive bleeding from their abdomen. They shot and seriously injured 2 people in a hold-up.
Patient B has a broken left wrist with no bleeding. They are a victim in the shooting.
Which patient do you treat?",Which patient do you treat?,"massive bleeding from their abdomen
shot and seriously injured 2 people in a hold-up.","a broken left wrist with no bleeding
are a victim in the shooting.",0.997658863,0.012495865,,0.1085,,,,1,,,Treat Patient A,Treat Patient B,1.012287998
July2025-MF-train,Merit Focus Set B,Probe 4,"Imagine that you are deployed as a military medic in a foreign country. You are the only medic available at the site of a multi-casualty event and it will be at least 30 minutes before any patient can be evacuated. There are two patients, Patient A and Patient B, and you only have time to treat one of them.","Patient A has a chest wound and is gasping for breath. They abandoned their military duty station during a high threat condition, so there was no warning for an enemy attack that seriously injured 2 people.
Patient B has a broken right wrist with no bleeding. They were injured in the attack.
Which patient do you treat?",Which patient do you treat?,"a chest wound and is gasping for breath
abandoned their military duty station during a high threat condition, so there was no warning for an enemy attack that seriously injured 2 people.","a broken right wrist with no bleeding
were injured in the attack.",0.942062369,0.012495865,,0.2545,,,,1,,,Treat Patient A,Treat Patient B,0.993191504
July2025-MF-train,Merit Focus Set B,Probe 5,"Imagine that you are deployed as a military medic in a foreign country. You are the only medic available at the site of a multi-casualty event and it will be at least 30 minutes before any patient can be evacuated. There are two patients, Patient A and Patient B, and you only have time to treat one of them.","Patient A has massive bleeding from their neck. They triggered an IED by poking a suspicious package they had been warned not to touch. The resulting explosion killed 1 person and seriously injured 5 people.
Patient B has a broken left ankle with no bleeding. They are a bystander who was injured.
Which patient do you treat?",Which patient do you treat?,"massive bleeding from their neck
triggered an IED by poking a suspicious package they had been warned not to touch. The resulting explosion killed 1 person and seriously injured 5 people.","a broken left ankle with no bleeding
are a bystander who was injured.",0.990133779,0.012495865,,0.339,,,,1,,,Treat Patient A,Treat Patient B,1.062387914
July2025-MF-train,Merit Focus Set B,Probe 6,"Imagine that you are deployed as a military medic in a foreign country. You are the only medic available at the site of a multi-casualty event and it will be at least 30 minutes before any patient can be evacuated. There are two patients, Patient A and Patient B, and you only have time to treat one of them.","Patient A has massive bleeding from their head. They stole some money and ran away, leading to a chase that ended in a car accident that seriously injured 2 people.
Patient B has a broken right ankle with no bleeding. They were injured in the crash.
Which patient do you treat?",Which patient do you treat?,"massive bleeding from their head
stole some money and ran away, leading to a chase that ended in a car accident that seriously injured 2 people.","a broken right ankle with no bleeding
were injured in the crash.",0.990133779,0.012495865,,0.3425,,,,1,,,Treat Patient A,Treat Patient B,1.063262914
July2025-MF-train,Merit Focus Set B,Probe 7,"Imagine that you are deployed as a military medic in a foreign country. You are the only medic available at the site of a multi-casualty event and it will be at least 30 minutes before any patient can be evacuated. There are two patients, Patient A and Patient B, and you only have time to treat one of them.","Patient A has massive bleeding from their right shoulder. They abandoned their military duty station during a low threat condition, so there was no warning for an enemy attack that seriously injured 2 people.
Patient B has a dislocated left shoulder with no bleeding. They were injured in the attack.
Which patient do you treat?",Which patient do you treat?,"massive bleeding from their right shoulder
abandoned their military duty station during a low threat condition, so there was no warning for an enemy attack that seriously injured 2 people.","a dislocated left shoulder with no bleeding
were injured in the attack.",0.98788728,0.012495865,,0.444,,,,1,,,Treat Patient A,Treat Patient B,1.086391415
July2025-MF-train,Merit Focus Set B,Probe 8,"Imagine that you are deployed as a military medic in a foreign country. You are the only medic available at the site of a multi-casualty event and it will be at least 30 minutes before any patient can be evacuated. There are two patients, Patient A and Patient B, and you only have time to treat one of them.","Patient A has massive bleeding from their left shoulder. They punched a rival in a bar, which escalated into a brawl that seriously injured both people.
Patient B has a dislocated right shoulder with no bleeding. They were injured in the fight.
Which patient do you treat?",Which patient do you treat?,"massive bleeding from their left shoulder
punched a rival in a bar, which escalated into a brawl that seriously injured both people.","a dislocated right shoulder with no bleeding
were injured in the fight.",0.98788728,0.012495865,,0.55,,,,1,,,Treat Patient A,Treat Patient B,1.112891415
July2025-MF-train,Merit Focus Set B,Probe 9,"Imagine that you are deployed as a military medic in a foreign country. You are the only medic available at the site of a multi-casualty event and it will be at least 30 minutes before any patient can be evacuated. There are two patients, Patient A and Patient B, and you only have time to treat one of them.","Patient A has massive bleeding from their left groin. They are a driver who was distracted by texting, causing an accident that seriously injured 2 people.
Patient B has a broken left wrist with no bleeding. They were injured in the crash.
Which patient do you treat?",Which patient do you treat?,"massive bleeding from their left groin
are a driver who was distracted by texting, causing an accident that seriously injured 2 people.","a broken left wrist with no bleeding
were injured in the crash.",0.98788728,0.012495865,,0.774,,,,1,,,Treat Patient A,Treat Patient B,1.168891415
July2025-MF-train,Merit Focus Set B,Probe 10,"Imagine that you are deployed as a military medic in a foreign country. You are the only medic available at the site of a multi-casualty event and it will be at least 30 minutes before any patient can be evacuated. There are two patients, Patient A and Patient B, and you only have time to treat one of them.","Patient A has massive bleeding from their right groin. They are a driver who nodded off behind the wheel, causing an accident that seriously injured 2 people.
Patient B has a broken right wrist with no bleeding. They were injured in the crash.
Which patient do you treat?",Which patient do you treat?,"massive bleeding from their right groin
are a driver who nodded off behind the wheel, causing an accident that seriously injured 2 people.","a broken right wrist with no bleeding
were injured in the crash.",0.98788728,0.012495865,,0.774,,,,1,,,Treat Patient A,Treat Patient B,1.168891415
