EventName,ElapsedTime,Timestamp,SessionID,Version,ButtonClickMessage,CurrentDurationEngaged,DragStartPosition,DragStopPosition,InjuryBodyRegion,InjuryName,InjuryPosition,InjuryRequiredProcedure,InjuryRequiredTreatmentCount,InjuryRequiredTreatmentsApplied,InjurySeverity,InjuryTreatedWithCorrectTreatment,InjuryTreatmentComplete,PatientBreathing,PatientHealthLevel,PatientHealthTimeRemaining,PatientHearing,PatientID,PatientMood,PatientPose,PatientPosition,PatientPulse,PatientRotation,PatientSpO2,PatientTriageLevel,PatientTriageSort,PlayerDirection,PlayerDistanceFromPatient,PlayerLeftHandPosition,PlayerPosition,PlayerRightHandPosition,TagType,TeleportPosition,ToolAttachMessage,ToolAttachParent,ToolCount,ToolMessageSender,ToolType,TotalDurationEngaged,TriageSortCommand,VoiceCaptureCommandDescription,VoiceCaptureMessage,
VOICE_CAPTURE,-176700,8/20/2025 8:48:15 PM,8b9ceb29-116f-4471-a97d-d11b9da5f2a5,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,I got hands Yep,
VOICE_CAPTURE,-153167,8/20/2025 8:48:39 PM,8b9ceb29-116f-4471-a97d-d11b9da5f2a5,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,oh I see,
VOICE_CAPTURE,-149096,8/20/2025 8:48:43 PM,8b9ceb29-116f-4471-a97d-d11b9da5f2a5,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,yeah,
TELEPORT,-141429,8/20/2025 8:48:50 PM,8b9ceb29-116f-4471-a97d-d11b9da5f2a5,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(1.1, 1.6, 1.8)",,,"(1.1, 1.6, 1.8)",
TELEPORT,-139665,8/20/2025 8:48:52 PM,8b9ceb29-116f-4471-a97d-d11b9da5f2a5,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(1.1, 1.6, 1.8)",,,"(1.1, 1.6, 1.8)",
VOICE_CAPTURE,-138457,8/20/2025 8:48:53 PM,8b9ceb29-116f-4471-a97d-d11b9da5f2a5,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,Oh yes,
TELEPORT,-136123,8/20/2025 8:48:56 PM,8b9ceb29-116f-4471-a97d-d11b9da5f2a5,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(1.1, 1.6, 1.8)",,,"(6.6, 1.6, 8.7)",
VOICE_CAPTURE,-131985,8/20/2025 8:49:00 PM,8b9ceb29-116f-4471-a97d-d11b9da5f2a5,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,oh there I go,
TELEPORT,-129164,8/20/2025 8:49:03 PM,8b9ceb29-116f-4471-a97d-d11b9da5f2a5,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(7.0, 1.6, 8.2)",,,"(5.4, 1.7, -1.5)",
TOOL_HOVER,-120165,8/20/2025 8:49:12 PM,8b9ceb29-116f-4471-a97d-d11b9da5f2a5,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,,Tourniquet,
BAG_ACCESS,-117937,8/20/2025 8:49:14 PM,8b9ceb29-116f-4471-a97d-d11b9da5f2a5,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(0.0, 0.0, 0.0)",
TAG_SELECTED,-116950,8/20/2025 8:49:15 PM,8b9ceb29-116f-4471-a97d-d11b9da5f2a5,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gray,
TAG_DISCARDED,-116352,8/20/2025 8:49:16 PM,8b9ceb29-116f-4471-a97d-d11b9da5f2a5,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(3.7, 1.1, -1.1)",,gray,
VOICE_CAPTURE,-114937,8/20/2025 8:49:17 PM,8b9ceb29-116f-4471-a97d-d11b9da5f2a5,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,I got a bunch of stuff,
TAG_SELECTED,-113892,8/20/2025 8:49:18 PM,8b9ceb29-116f-4471-a97d-d11b9da5f2a5,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gray,
TAG_DISCARDED,-113172,8/20/2025 8:49:19 PM,8b9ceb29-116f-4471-a97d-d11b9da5f2a5,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(3.7, 1.2, -1.0)",,gray,
TAG_SELECTED,-112685,8/20/2025 8:49:19 PM,8b9ceb29-116f-4471-a97d-d11b9da5f2a5,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gray,
TAG_DISCARDED,-112252,8/20/2025 8:49:20 PM,8b9ceb29-116f-4471-a97d-d11b9da5f2a5,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(3.7, 1.2, -1.0)",,gray,
TAG_SELECTED,-111221,8/20/2025 8:49:21 PM,8b9ceb29-116f-4471-a97d-d11b9da5f2a5,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,green_blue,
TAG_DISCARDED,-110721,8/20/2025 8:49:21 PM,8b9ceb29-116f-4471-a97d-d11b9da5f2a5,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(3.8, 1.4, -1.0)",,green_blue,
VOICE_CAPTURE,-109416,8/20/2025 8:49:22 PM,8b9ceb29-116f-4471-a97d-d11b9da5f2a5,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,Oh no give me the pack,
VOICE_CAPTURE,-106443,8/20/2025 8:49:25 PM,8b9ceb29-116f-4471-a97d-d11b9da5f2a5,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,oh I gotta reach all the way into it,
